JUEGOS;PRECIO DE COMPRA;GANANCIAS;PRECIO VENTA
🦊A Way Out   $ 7.600 ;$ 7.600;;$ 7.600
🦊Alien: Isolation   $ 8.900 ;$ 8.900;;$ 8.900
🦊Assassin's Creed® Syndicate   $ 6.300 ;$ 6.300;;$ 6.300
🦊Assassin’s Creed® Valhalla + Watch Dogs®: Legion Bundle   $ 22.200 ;$ 22.200;;$ 0
🌟60 Seconds! Reatomized   $ 6.700;$ 6.700;;$ 0
🌟ACE COMBAT™ 7: SKIES UNKNOWN - TOP GUN: Maverick Edition   $ 15.700;$ 15.700;;$ 0
🌟Ancestors: The Humankind Odyssey   $ 9.300 ;$ 9.300;;$ 0
🌟Arma Reforger PS5   $ 27.500 ;$ 27.500;;$ 0
🤖ARK: Survival Evolved  $17500;$ 18.500;$ 0;$ 18.500
🌟Bramble: The Mountain King   $ 7.600 ;$ 7.600;;$ 0
🦊Batman: Arkham Knight Premium Edition   $ 6.900;$ 6.900;;$ 0
🦊Batman: Return to Arkham   $ 6.700 ;$ 6.700;;$ 0
🦊Bayonetta   $ 7.800 ;$ 7.800;;$ 0
🦊Blasphemous 2   $ 13.200 ;$ 13.200;;$ 0
🦊Bratz™: Flaunt Your Fashion   $ 18.300 ;$ 18.300;;$ 0
🦊Captain Tsubasa: Rise of New Champions Ultimate Edition   $ 15.200 ;$ 15.200;;$ 0
🦊Car Mechanic Simulator   $ 7.000 ;$ 7.000;;$ 0
🦊Car Mechanic Simulator 2021   $ 10.100 ;$ 10.100;;$ 0
🦊Cars 3: Driven to Win   $ 6.600 ;$ 6.600;;$ 0
🦊Castle Crashers Remastered    $ 7.600 ;$ 7.600;;$ 0
🦊Crash Bandicoot™ Bundle - N. Sane Trilogy + CTR Nitro-Fueled    $ 7.300 ;$ 7.300;;$ 0
🤖Call of Duty®: Black Ops 6 Secundario $29.500;$ 30.500;$ 0;$ 30.500
🦊Cuphead   $ 14.900 ;$ 14.900;;$ 0
🦊Cyberpunk 2077   $ 23.500 ;$ 23.500;;$ 0
🌟Cities: Skylines - Remastered   $ 13.200 ;$ 13.200;;$ 0
🌟Crysis Remastered Trilogy   $ 13.600;$ 13.600;;$ 0
🌟DIRT 5   $ 15.700;$ 15.700;;$ 0
🤖Dying Light 2 Stay Human $20.500;$ 22.500;$ 0;$ 22.500
🌟DMC4SE Demon Hunter Bundle   $ 12.200 ;$ 12.200;;$ 0
🦊Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles Standard Edition   $ 15.700 ;$ 15.700;;$ 0
🦊Devil May Cry 5 + Vergil PS4   $ 11.000 ;$ 11.000;;$ 0
🦊Devil May Cry HD Collection & 4SE Bundle   $ 15.700 ;$ 15.700;;$ 0
🦊Diablo® Prime Evil Collection    $ 6.900 ;$ 6.900;;$ 0
🦊DOOM Anthology   $ 27.500 ;$ 27.500;;$ 0
🦊DRAGON BALL FighterZ - Legendary Edition   $ 26.900;$ 26.900;;$ 0
🦊DRAGON BALL XENOVERSE 2 Deluxe Edition   $ 14.900 ;$ 14.900;;$ 0
🦊Dragon's Dogma 2 PS5   $ 27.500 ;$ 27.500;;$ 0
🤖DRAGON BALL: Sparking! ZERO (PS5) Secundario $30.500;$ 35.500;$ 0;$ 35.500
🦊EA STAR WARS™ TRIPLE BUNDLE    $ 7.300;$ 7.300;;$ 0
🤖EA FC 25 $24.500;$ 27.500;$ 0;$ 27.500
🤖EA FC 26  $52.500;$ 55.500;$ 0;$ 55.500
🦊FAR CRY 4 + FAR CRY PRIMAL BUNDLE   $ 8.900;$ 8.900;;$ 0
🦊Far Cry Primal   $ 6.300 ;$ 6.300;;$ 0
🦊FAR CRY PRIMAL - APEX EDITION   $ 7.000;$ 7.000;;$ 0
🦊Far Cry® 5 + Far Cry® New Dawn Complete Edition ESPAÑOL   $ 15.700 ;$ 15.700;;$ 0
🦊Far Cry® New Dawn ESPAÑOL   $ 9.300 ;$ 9.300;;$ 0
🤖Farming Simulator 22 $42.500;$ 42.500;$ 0;$ 42.500
🌟GreedFall - Gold Edition   $ 13.200 ;$ 13.200;;$ 0
🌟GRID Legends Deluxe Edition    $ 11.200;$ 11.200;;$ 0
🤖Grand Theft Auto V Secundario $15.500;$ 17.500;$ 0;$ 17.500
🤖Ghost of Yōtei (PS5) $64.500;$ 64.500;$ 0;$ 64.500
🤖Grand Theft Auto: The Trilogy – The Definitive Edition Secundario $18.500;$ 19.500;$ 0;$ 19.500
🤖God of War Ragnarök Secundario $18.500;$ 19.500;$ 0;$ 19.500
🤖Gran turismo 7 Secundario $18.500;$ 19.500;$ 0;$ 19.500
🌟Hello Neighbor 2   $ 11.000 ;$ 11.000;;$ 0
🌟Hunting Simulator 2   $ 11.000 ;$ 11.000;;$ 0
🦊HITMAN World of Assassination - Deluxe Edition    $ 40.500 ;$ 40.500;;$ 0
🤖Hogwarts Legacy Secundario $15.500;$ 17.500;$ 0;$ 17.500
🤖Hollow Knight Voidheart Edition $19.500;$ 22.500;$ 0;$ 22.500
🤖Hollow Knight: Silksong $21.500;$ 24.500;$ 0;$ 24.500
🦊inFAMOUS Second Son™   $ 11.000 ;$ 11.000;;$ 0
🦊Injustice™ 2 - Legendary Edition   $ 8.600 ;$ 8.600;;$ 0
🌟JoJo's Bizarre Adventure: All-Star Battle R   $ 11.000 ;$ 11.000;;$ 0
🌟Judgment PS4   $ 8.900 ;$ 8.900;;$ 0
🌟Just Cause 4 - Gold Edition   $ 10.100;$ 10.100;;$ 0
🌟Like a Dragon: Infinite Wealth Deluxe Edition   $ 25.200 ;$ 25.200;;$ 0
🌟Lost Judgment Digital Ultimate Edition    $ 7.800 ;$ 7.800;;$ 0
🦊LEGO® Batman™ 3: Más allá de Gotham Edición Deluxe   $ 7.600 ;$ 7.600;;$ 0
🦊LEGO® DC Super-Villains Edición Deluxe   $ 8.900 ;$ 8.900;;$ 0
🦊LEGO® Jurassic World™   $ 6.700 ;$ 6.700;;$ 0
🦊LEGO® Marvel Collection   $ 10.100;$ 10.100;;$ 0
🦊LEGO® Marvel's Avengers   $ 6.700;$ 6.700;;$ 0
🦊LEGO® Worlds   $ 6.700;$ 6.700;;$ 0
🦊Marvel vs. Capcom: Infinite - Deluxe Edition   $ 13.200 ;$ 13.200;;$ 0
🦊Marvel's Spider-Man: Game of the Year Edition ESPAÑOL LATINO   $ 19.000 ;$ 19.000;;$ 0
🦊Mass Effect™: Andromeda – Standard Recruit Edition   $ 7.600 ;$ 7.600;;$ 0
🦊Monster Hunter Rise   $ 11.000 ;$ 11.000;;$ 0
🦊Monster Hunter Wilds PS5    $ 44.500 ;$ 44.500;;$ 0
🦊MONSTER HUNTER: WORLD™   $ 11.000 ;$ 11.000;;$ 0
🦊Mortal Kombat 11 Ultimate + Injustice 2 Leg. Edition Bundle ESPAÑOL LATINO   $ 11.000 ;$ 11.000;;$ 0
🦊Mortal Kombat 11 Ultimate ESPAÑOL LATINO   $ 7.600 ;$ 7.600;;$ 0
🦊Mortal Kombat XL ESPAÑOL LATINO   $ 6.700;$ 6.700;;$ 0
🌟MADiSON   $ 20.800 ;$ 20.800;;$ 0
🤖Minecraft  $19.700;$ 22.500;$ 0;$ 22.500
🌟Middle-earth™: Shadow of War™   $ 6.700 ;$ 6.700;;$ 0
🌟Monster Energy Supercross - The Official Videogame 5   $ 5.900 ;$ 5.900;;$ 0
🌟MY HERO ONE'S JUSTICE 2   $ 11.000 ;$ 11.000;;$ 0
🦊NARUTO SHIPPUDEN™: Ultimate Ninja® STORM 4 ROAD TO BORUTO ESPAÑOL LATINO   $ 19.000 ;$ 19.000;;$ 0
🦊NARUTO TO BORUTO: SHINOBI STRIKER   $ 6.700;$ 6.700;;$ 0
🦊Need for Speed™   $ 7.600 ;$ 7.600;;$ 0
🦊Need for Speed™ Heat Deluxe Edition   $ 8.400 ;$ 8.400;;$ 0
🦊Need for Speed™ Payback - Deluxe Edition   $ 9.100 ;$ 9.100;;$ 0
🦊Need for Speed™ Rivals   $ 7.600;$ 7.600;;$ 0
🦊NieR Replicant    $ 7.500 ;$ 7.500;;$ 0
🦊NieR: Automata™ Game of the YoRHa Edition   $ 16.600 ;$ 16.600;;$ 0
🦊Overcooked! + Overcooked! 2   $ 9.900 ;$ 9.900;;$ 0
🌟Olympic Games Tokyo 2020 – The Official Video Game™    $ 5.100 ;$ 5.100;;$ 0
🌟One Piece Pirate Warriors 3   $ 10.100 ;$ 10.100;;$ 0
🌟Persona®5 Strikers    $ 7.800 ;$ 7.800;;$ 0
🌟Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition   $ 8.900 ;$ 8.900;;$ 0
🌟Poppy Playtime: Capítulo 1   $ 5.300 ;$ 5.300;;$ 0
🌟Poppy Playtime: Capítulo 2   $ 8.000 ;$ 8.000;;$ 0
🌟Poppy Playtime: Capítulo 3   $ 11.000 ;$ 11.000;;$ 0
🌟Poppy Playtime: Capítulo 4   $ 15.700 ;$ 15.700;;$ 0
🦊PAYDAY 2: CRIMEWAVE EDITION   $ 6.900 ;$ 5.900;;$ 0
🤖Red Dead Redemption 2 Secundario $15.500;$ 17.500;0;$ 17.500
🦊RESIDENT EVIL 2 Deluxe Edition   $ 13.600 ;$ 13.600;;$ 0
🦊Resident Evil 7 Gold Edition & Village Gold Edition   $ 19.000 ;$ 19.000;;$ 0
🦊Resident Evil Revelations 1 & 2 Bundle   $ 8.900;$ 8.900;;$ 0
🦊Resident Evil Triple Pack   $ 13.600 ;$ 13.600;;$ 0
🦊Resident Evil: Deluxe Origins Bundle   $ 11.000 ;$ 11.000;;$ 0
🌟Rise of the Tomb Raider: 20 Year Celebration   $ 7.600 ;$ 7.600;;$ 0
🌟Shadow of the Tomb Raider Definitive Edition   $ 9.300 ;$ 9.300;;$ 0
🌟Sifu Deluxe Edition   $ 13.600;$ 13.600;;$ 0
🌟Skater XL   $ 27.500 ;$ 27.500;;$ 0
🌟Sleeping Dogs™ Definitive Edition   $ 6.800;$ 6.800;;$ 0
🤖Sekiro™: Shadows Die Twice - Game of the Year Edition Secundario $11.500;$ 11.500;0;$ 11.500
🌟SOUTH PARK: SNOW DAY! PS5   $ 14.500 ;$ 14.500;;$ 0
🌟STAR WARS™ Battlefront™ II: Celebration Edition   $ 9.300 ;$ 9.300;;$ 0
🦊Sonic Colours: Ultimate - Digital Deluxe    $ 6.900;$ 6.900;;$ 0
🦊Sonic Mania   $ 9.300 ;$ 9.300;;$ 0
🦊Sonic Origins   $ 11.900 ;$ 11.900;;$ 0
🦊SONIC SUPERSTARS   $ 21.300 ;$ 21.300;;$ 0
🦊Street Fighter™ 6   $ 19.000 ;$ 19.000;;$ 0
🦊The LEGO® Games Bundle   $ 11.000 ;$ 11.000;;$ 0
🦊The Walking Dead: The Telltale Definitive Series   $ 13.600 ;$ 13.600;;$ 0
🦊The Witcher 3: Wild Hunt SUBTITULADO    $ 5.400;$ 4.400;;$ 0
🦊Tom Clancy's Ghost Recon® Breakpoint ESPAÑOL   $ 7.600 ;$ 7.600;;$ 0
🌟Teenage Mutant Ninja Turtles: The Cowabunga Collection   $ 16.600 ;$ 16.600;;$ 0
🌟TEKKEN 8 - Advanced Edition PS5    $ 32.000 ;$ 32.000;;$ 0
🌟Telltale Batman Shadows Edition   $ 11.900 ;$ 11.900;;$ 0
🌟The Chant PS5   $ 7.800 ;$ 7.800;;$ 0
🌟The Evil Within SUBTITULADO   $ 6.700 ;$ 6.700;;$ 0
🌟The Last Guardian™   $ 11.000 ;$ 11.000;;$ 0
🌟The Outer Worlds   $ 8.900 ;$ 8.900;;$ 0
🌟The Outer Worlds: Board-Approved Bundle   $ 15.700 ;$ 15.700;;$ 0
🌟The Outer Worlds: Spacer's Choice Edition   $ 15.700 ;$ 15.700;;$ 0
🌟Tomb Raider: Definitive Edition   $6.900 ;$ 5.900;;$ 0
🌟UFC™ 5 Edición Deluxe PS5   $ 20.000 ;$ 20.000;;$ 0
🌟ULTIMATE MARVEL VS. CAPCOM 3   $ 8.900 ;$ 8.900;;$ 0
🌟Unravel   $ 6.700 ;$ 6.700;;$ 0
🌟Unravel Two    $ 5.700 ;$ 3.700;;$ 0
🦊UNCHARTED 4: A Thief’s End & UNCHARTED: The Lost Legacy Digital Bundle ESPAÑOL LATINO   $ 19.000 ;$ 19.000;;$ 0
🦊UNCHARTED 4: A Thief’s End SUBTITULADO & UNCHARTED: The Lost Legacy ESPAÑOL Digital Bundle    $ 7.900 ;$ 7.900;;$ 0
