Nombre;Precio;Disponible
A way out + It Takes Two (PS5) $17.500;17500;
A Way Out (PS5) $12.500;12500;
ARK: Survival Evolved (PS5) $14.500;14500;
Assassin's Creed Triple Pack Black Flag Unity Syndicate (PS5) $25.500;25500;
Assassin’s Creed® The Ezio Collection (PS5) $13.300;13300;
Assassin's Creed Valhalla (PS5) $13.700;13700;
Assassin's Creed® Mirage (PS5) $19.500 (SIN STOCK);19500;0
Assassin's Creed® Odyssey Latino (PS5) $12.700;12700;
Assassin's Creed® Origins (PS5) $8.700;8700;
Assassin's Creed® Unity (PS5) $9.500;9500;
Assassin's Creed® III Remastered (PS5) $14.500;14500;
ACE COMBAT™ 7: SKIES UNKNOWN (PS5) $12.500;12500;
Asseto Corsa Competizione (PS5) $12.500;12500;
Avatar: Frontiers of Pandora Deluxe Edition (PS5) $22.500;22500;
Among Us (PS5) $7.500;7500;
Ancestors (PS5) $11.500;11500;
Borderlands 3 Next Level Bundle (PS5) $8.500;8500;
Batman: Arkham Collection (PS5) $11.500;11500;
Batman: Arkham Knight (PS5) $7.900;7900;
Batman: Return to Arkham (PS5) $7.900;7900;
Battlefield 1 (PS5) $8.500;8500;
Battlefield 4 (PS5) $10.500;10500;
Battlefield V Definitive Edition (PS5) $8.500;8500;
BioShock: The Collection (PS5) $11.500;11500;
Back 4 Blood Deluxe Edition (PS5) $8.500;8500;
Bloodborne (PS5) $13.500;13500;
Bully (PS5) $11.500;11500;
Call of duty Black Ops 3 Zombies edition (PS5) $14.700;14700;
Call Of Duty Black Ops 4 (PS5) $14.500 (SIN STOCK);14500;0
Call Of Duty Modern Warfare Remasterd (PS5) $9.500;9500;
Call of Duty®: Modern Warfare® 2 Campaign Remastered (PS5) $10.500;10500;
Call Of Duty WWII (PS5) $18.500;18500;
Call of Duty:Advanced Warfare - Digital Pro Edition (Day Zero) (PS5) $14.900;14900;
Call of Duty®: Black Ops Cold War (PS5) $17.700;17700;
Call of Duty®: Black Ops 6 (PS5)  $44.500;44500;
Call of Duty®: Infinite Warfare (PS5) $16.500;16500;
Call of Duty®: Modern Warfare® II (PS5) $27.500;27500;
Call of Duty®: Modern Warfare® III - Lote Multigeneración (PS5) $37.500;37500;
Call of Duty®: Modern Warfare® (PS5) $17.500;17500;
Call of Duty®: Vanguard - Standard Edition (PS5) $13.700;13700;
Car Mechanic Simulator (PS5) $12.500;12500;
CARS 3: Driven to Win (PS5) $7.500;7500;
Cult of the Lamb (PS5) $14.500;14500;
Crash Bandicoot Bundle - N. Sane Trilogy + CTR Nitro-Fueled (PS5) $15.500;15500;
Crash Bandicoot™ - Quadrilogy Bundle, Crash Trilogy + Crash 4 (PS5) $16.500;16500;
Crash Bandicoot™ - Crashiversary Bundle (5x1), Crash Trilogy + Crash 4 + Crash Team Racing Nitro (PS5) $18.500;18500;
Crash Team Racing Nitro-Fueled + Spyro Game Bundle (PS5) $11.500;11500;
Crash™ + Spyro™ Triple Play Bundle, Crash Trilogy + Spyro Trilogy (PS5) $13.500;13500;
Captain Tsubasa: Rise of New Champions Deluxe Edition (PS5) $12.500;12500;
Cuphead (PS5) $14.500;14500;
Cyberpunk 2077 (PS5) $18.500;18500;
Dakar 18 (PS5) $11.700;11700;
Dark Souls Remastered (PS5) $18.500;18500;
Day Z (PS5) $19.500 ;19500;
Days Gone (PS5) $17.700;17700;
Devil May Cry 5 + Vergil (PS5) $12.700;12700;
Devil May Cry 4 Special Edition (PS5) $11.500;11500;
Devil May Cry HD Collection & 4SE Bundle (PS5) $15.500;15500;
Diablo IV (PS5) $22.500 (SIN STOCK);22500;0
Diablo® Prime Evil Collection (PS5) $12.300;12300;
Diablo III: Eternal Collection (PS5) $10.500;10500;
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles (PS5) $13.500;13500;
DiRT Rally 2.0 (PS5) $13.700;13700;
DIRT 5 (PS5) $16.500 (SIN STOCK);16500;0
Doom Eternal Deluxe (PS5) $12.500;12500;
DRAGON BALL FIGHTERZ (PS5) $13.700;13700;
Dragon Ball Xenoverse (PS5) $12.500;12500;
Dragon Ball Xenoverse 1 and 2 Bundle (PS5) $15.700;15700;
Dragon Ball Xenoverse 2 (PS5) $12.700;12700;
Dragon Ball Z Kakarot (PS5) $14.700;14700;
DRAGON BALL: Sparking! ZERO (PS5) Cuenta Secundaria $35.500;35500;
Detroit: Become Human (PS5) $15.500;15500;
Dead by Daylight (PS5) $15.500;15500;
Dead Island: Riptide Definitive Edition (PS5) $7.500;7500;
Dying Light - Enhanced Edition (PS5) $10.900;10900;
Dying Light 2 Stay Human (PS5) $17.900;17900;
Descenders (PS5) $8.500;8500;
EA FC 24 (PS5) $12.700;12700;
EA FC 25 (PS5)  $20.500;20500;
EA FC 26 (PS5)  $49.500;49500;
EA STAR WARS™ TRIPLE BUNDLE (PS5) $14.500;14500;
Elden Ring (PS5) $29.500;29500;
F1® 23 (PS5) $12.500 ;12500;
F1® 24 (PS5) $19.500 ;19500;
Fallout 4: Game of the Year Edition (PS5) $11.500;11500;
Far Cry Primal (PS5) $13.500;13500;
Far Cry®️3 Classic Edition (PS5) $11.500;11500;
Far Cry 4 (PS5) $11.500;11500;
Far Cry 5 (PS5) $12.500;12500;
Farcry 5 + Farcry New Dawn (PS5) $15.500;15500;
Far Cry® New Dawn (PS5) $7.500;7500;
Far Cry 6 (PS5) $13.500;13500;
Five Nights at Freddy's: Security Breach (PS5) $18.500;18500;
Farming Simulator 22 (PS5) $22.500;22500;
For Honor (PS5) $10.500;10500;
Gang Beasts (PS5) $11.500;11500;
Ghost of Tsushima (PS5) $14.700;14700;
Ghost of Yōtei (PS5) Cuenta Secundaria $40.500;40500;
God of war 3 Remasterd (PS5) $11.500;11500;
God Of War 4 Latino (PS5) $12.500;12500;
God of War Ragnarok (PS5) $23.500;23500;
Gran turismo 7 (PS5) $22.500;22500;
Grand The Auto V (PS5) $18.700;18700;
Grand Theft Auto: The Trilogy – The Definitive Edition (PS5) $19.500;19500;
Grid Legends (PS5) $11.900;11900;
Hitman HD Enhanced Collection (PS5) $13.700;13700;
HITMAN World of Assassination Part One (PS5) $14.500  (SIN STOCK);14500;0
HITMAN World of Assassination (PS5) $29.500 (SIN STOCK);29500;0
Human: Fall Flat (PS5) $8.700;8700;
Hogwarts Legacy Deluxe (PS5) $23.500;23500;
Horizon Forbidden West Español Latino (PS5) $19.500;19500;
Horizon Zero Dawn™ Complete Edition Subtitulado (PS5) $12.300;12300;
Hollow Knight (PS5) $19.500;19500;
Infamous Second Son (PS5) $14.700;14700;
Injustice 2 - Legendary Edition Latino (PS5) $11.200;11200;
It takes Two (PS5) $15.500;15500;
insurgency sandstorm (PS5) $17.500;17500;
Just Cause 4 - Complete Edition (PS5) $12.900;12900;
Just Cause 3 (PS5) $7.500;7500;
Jurassic World Evolution Deluxe Edition (PS5) $12.500;12500;
Jurassic World Evolution 2 (PS5) $15.900;15900;
LEGO® Batman™ 3: Beyond Gotham Deluxe Edition (PS5) $8.500;8500;
LEGO® CITY Undercover (PS5) $8.500;8500;
LEGO® Marvel Super Heroes 2 (PS5) $10.900;10900;
Lego Marvel Collection (PS5) $13.500;13500;
LEGO® Star Wars™: The Skywalker Saga PS4 & PS5 (PS5) $14.500;14500;
Little Nightmares (PS5) $11.500;11500;
Little Nightmares II (PS5) $13.500;13500;
Little Nightmares I y II Bundle (PS5) $14.500;14500;
LittleBigPlanet™ 3 (PS5) $12.900;12900;
Mad Max (PS5) $8.500;8500;
MAFIA III (PS5) $12.500;12500;
Mafia II (PS5) $9.500;9500;
Mafia: Definitive Edition (PS5) $9.500;9500;
Mafia: Trilogy (PS5) $13.500;13500;
Marvels Guardians of the Galaxy (PS5) $9.900;9900;
Marvels Spider-Man: Game of the Year Edition (PS5) $19.500;19500;
Marvels Spider-Man: Miles Morales (PS5) $19.500;19500;
Marvel’s Spider-Man 2 (PS5) Cuenta Secundaria $30.500;30500;
Metro 2033 Redux (PS5) $10.900;10900;
Metro Exodus Gold Edition (PS5) $8.500;8500;
Metro: Last Light Redux (PS5) $8.900;8900;
Metro Saga Bundle (PS5) $10.500;10500;
Middle-earth: Shadow of Mordor (PS5) $7.500;7500;
Middle-earth™: Shadow of War™ Definitive Edition (PS5) $11.900;11900;
Minecraft (PS5) $14.700;14700;
Monster Energy Supercross - The Official Videogame (PS5) $10.500;10500;
Monster Energy Supercross - The Official Videogame 5 (PS5) $11.700;11700;
Monster Energy Supercross - The Official Videogame 6 (PS5) $12.700;12700;
Mortal Kombat 11 Audio Ingles (PS5) $7.500;7500;
Mortal Kombat 11 Español Latino (PS5) $8.700;8700;
Mortal Kombat 11 Ultimate Audio Ingles Subtitulado Español (PS5) $9.500;9500;
Mortal Kombat 11 Ultimate Español Latino (PS5) $9.700;9700;
Mortal Kombat 11 Ultimate + Injustice 2 Español Latino (PS5) $13.700;13700;
Mortal Kombat X (PS5) $8.800;8800;
Mortal Kombat XL (PS5)  $9.800;9800;
Mount & blade ii: bannerlord (PS5) $22.500;22500;
Mortal Kombat 1 (PS5) Cuenta Secundaria $19.500;19500;
MudRunner (PS5) $8.300;8300;
Moto GP 24 (PS5) $19.500;19500;
Moto GP 23 (PS5) $14.500;14500;
Moto GP 21 (PS5) $9.500;9500;
Moto GP 22 (PS5) $10.500;10500;
MX vs ATV Legends (PS5) $12.900;12900;
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto (PS5) $13.700;13700;
NARUTO: Ultimate Ninja STORM (PS5) $8.500;8500;
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy (PS5) $13.700;13700;
NBA 2K24 Baller Edition (PS5) $14.500;14500;
NBA 2K25 Standard Edition (PS5) $19.700 ;19700;
Need For Speed (PS5) $8.700;8700;
Need For Speed Heat (PS5) $9.700;9700;
Need For Speed Payback (PS5) $8.700;8700;
Need For Speed Rivals: Complete Edition (PS5) $8.200;8200;
NieR: Automata Goty (PS5) $11.300;11300;
No Man's Sky  (PS5) $21.500 (SIN STOCK);21500;0
ONE PIECE: PIRATE WARRIORS 4 Deluxe Edition (PS5) $16.500 (SIN STOCK);16500;0
Outlast: Bundle of Terror (PS5) $10.500;10500;
Outlast: Trinity (PS5) $13.500;13500;
Outlast (PS5) ($7.500);7500;
Overcooked! 2 (PS5) $8.500;8500;
Overcooked! (PS5) $6.500;6500;
Overcooked! + Overcooked! 2 (PS5) $10.500;10500;
Plantas Vs Zombies: Garnden Warfare (PS5) $9.500;9500;
Plants vs. Zombies™ Garden Warfare 2: Standard Edition (PS5) $11.900;11900;
Plants vs Zombies: Battle for Neighborville Deluxe Edition (PS5) $12.900;12900;
Rayman Legends (PS5) $9.500;9500;
Red Dead Redemption 2 (PS5) $15.700;15700;
Red Dead Redemption 1 (PS5) $23.500;23500;
RESIDENT EVIL 2 (PS5) $10.700;10700;
RESIDENT EVIL 3 (PS5) $11.900;11900;
Resident Evil 4 2005 (PS5) $13.900;13900;
Resident Evil 4 Remake (PS5) $18.500;18500;
Resident Evil 5 (PS5) $11.500;11500;
Resident Evil 6 (PS5) $10.900;10900;
RESIDENT EVIL 7 biohazard (PS5) $12.500;12500;
Resident Evil Village (PS5) $13.500;13500;
Resident Evil Triple Pack (RE 4, 5, 6) (PS5) $17.500;17500;
RACCOON CITY EDITION (RE 2 + RE 3) (PS5) $14.800;14800;
Rise of the Tomb Raider: 20 Year Celebration (PS5) $11.500;11500;
Riders Republic Skate Edition (PS5) $11.500;11500;
Ride 4 (PS5) $10.500;10500;
Sekiro™: Shadows Die Twice - Game of the Year Edition (PS5) $12.700;12700;
Sniper Elite 4 Deluxe Edition $10.300;10300;
Sniper Elite 4 (PS5) $9.900;9900;
SIFU (PS5) $17.500 ;17500;
